SKU,Minimum_Price,Site
SYA4K8P,"$11,665.14",www.cendirect.com
SYA8K8P,"$15,501.99",www.cendirect.com
SYA12K16P,"$19,728.72",www.cendirect.com
SYA16K16P,"$24,813.05",www.cendirect.com
9PXM8S4K,"$11,307.99",www.pc-canada.com
9PXM8S8K,"$15,446.92",www.cendirect.com
9PXM8S12K,"$19,676.89",www.cendirect.com
9PXM8S16K,"$23,906.27",www.cendirect.com
SYA4K8P,"$11,665.14",www.cendirect.com
SYA8K8P,"$15,501.99",www.cendirect.com
SYA12K16P,"$19,728.72",www.cendirect.com
SYA16K16P,"$24,813.05",www.cendirect.com
9PXM8S4K-PD,"$10,862.99",www.pc-canada.com
9PXM8S8K-PD,"$15,626.41",www.cendirect.com
9PXM12S12K-PD,"$20,649.65",www.cendirect.com
9PXM12S16K-PD,"$24,879.61",www.cendirect.com
